Name,Latitude,Longitude,Website
Ho Plaza Bench,42.445721,-76.484882,http://mapq.st/2xeVqCs
Joseph Fleming Bench,42.448687,-76.481307,"https://www.google.com/maps?q=122+Sciences+Dr,+Ithaca,+NY+14850,+USA&ftid=0x89d0818a97151783:0x5ca547f8755ce400"
White Stone Bench,42.44802,-76.484084,"https://www.google.com/maps?q=161+Ho+Plaza,+Ithaca,+NY+14853,+USA&ftid=0x89d0818a31026eb7:0xa68ef4bee92f04b6"
Cornell Store Benches,42.446787,-76.485118,"https://www.google.com/maps/place/136+Ho+Plaza,+Ithaca,+NY+14853/@42.4465233,-76.4878762,17z/data=!3m1!4b1!4m5!3m4!1s0x89d081896704b3f3:0x605902fa92004da2!8m2!3d42.4465233!4d-76.4856875"
Stimson Hall Bench,42.447632,-76.482661,"https://www.google.com/maps?q=111+Tower+Rd,+Ithaca,+NY+14853,+USA&ftid=0x89d0818afbdfa205:0xdc43d59bf2785bf7"
"""The Seven Jewels"" Bench",42.446427,-76.484925,"https://www.google.com/maps/place/Cornell+University,+129+Ho+Plaza,+Ithaca,+NY+14853/@42.4463985,-76.4864543,17z/data=!3m1!4b1!4m5!3m4!1s0x89d0818bc3b3290d:0xf53e9e5dc530e030!8m2!3d42.4463985!4d-76.4842656"
Olin Library Benches,42.447572,-76.484884,"https://www.google.com/maps/place/John+M.+Olin+Library/@42.4477788,-76.4863611,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x7677af6f5f4ed311!8m2!3d42.4477788!4d-76.4841724"
Tower Road Bench,42.447614,-76.48177,"https://www.google.com/maps/place/R.Uris+Garden,+Ithaca,+NY+14853/@42.4479555,-76.4835796,17z/data=!3m1!4b1!4m5!3m4!1s0x89d0818af1e816a3:0xeed8b82331148a0c!8m2!3d42.4478242!4d-76.48107"
Arts Quad Bench,42.448275,-76.484279,"https://www.google.com/maps/place/161+Ho+Plaza,+Ithaca,+NY+14853/@42.447905,-76.4864817,17z/data=!3m1!4b1!4m5!3m4!1s0x89d0818a31026eb7:0xa68ef4bee92f04b6!8m2!3d42.447905!4d-76.484293"
The Slope Benches,42.448641,-76.48502,"https://www.google.com/maps/place/160+Ho+Plaza,+Ithaca,+NY+14853/@42.4477207,-76.4876626,17z/data=!3m1!4b1!4m5!3m4!1s0x89d08189805aded3:0x4de92ed722e3f74d!8m2!3d42.4477207!4d-76.4854739"
Sigma Nu Bench,42.447285,-76.484052,"https://www.google.com/maps?q=147+Ho+Plaza,+Ithaca,+NY+14850,+USA&ftid=0x89d0818bd2085ea3:0xfc7b6c469d43a506"
Bailey Circle Bench,42.448773,-76.480103,"https://www.google.com/maps?q=230+Garden+Ave,+Ithaca,+NY+14850,+USA&ftid=0x89d0818aaa64f657:0x82955ffe02ed51ae"
Class of 1927 Bench,42.448023,-76.485658,"https://www.google.com/maps?q=174+Central+Ave,+Ithaca,+NY+14850,+USA&ftid=0x89d08189842f9f13:0x1ded2a920743cbd"
